Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2017-09-22,404.51666259765625,414.6836126971409,401.61885593637555,406.6777641567699,9781308
2017-09-25,400.9803771972656,407.95477896944556,397.44404265015146,406.3339677122182,6957357
2017-09-26,403.9764099121094,406.5795345822389,396.16700592389316,402.15912401785107,5077291
2017-09-27,397.7386779785156,406.92331399422795,394.88997519777826,406.1865789658739,4727360
2017-09-28,394.30059814453125,399.75245557561556,391.94305194792855,399.75245557561556,4850748
2017-09-29,394.3988342285156,397.83693116450513,390.37134325079114,394.3005968919221,7520906
2017-10-03,408.6423645019531,420.43012501643256,407.6600511257465,420.43012501643256,9696920
2017-10-04,416.058837890625,418.465517765619,405.4007612443488,410.1649573587149,7663143
2017-10-05,415.8132629394531,418.2690465145215,412.6698779500617,415.51858090157566,4606192
2017-10-06,417.3358459472656,418.4655003399422,408.8388411964915,414.5362468156235,5308695
2017-10-09,418.07257080078125,424.4576076222895,415.56765375334095,416.5008634337682,4414381
2017-10-10,416.10797119140625,421.31422033232934,413.94686967376276,418.07259803369067,5057869
2017-10-11,408.1512145996094,417.384954493903,406.7759818456211,417.384954493903,4320451
2017-10-12,412.718994140625,414.3398053537343,402.11002076588477,408.15124254810706,5442846
2017-10-13,417.2867126464844,421.70712286510314,411.49106968874923,413.5539337863364,6969434
2017-10-16,429.320068359375,430.2532780998089,418.3181760384959,418.7601990909436,8476709
2017-10-17,424.6540832519531,428.04307657222716,422.5912490338665,428.04307657222716,5135763
2017-10-18,425.5381774902344,429.56563845383306,419.05490304523687,424.6049677677463,5539785
2017-10-19,419.39874267578125,425.4399644439131,416.74648434936836,425.3417271025964,1313380
2017-10-23,415.2729797363281,423.2297240781126,413.5539313281943,421.51067566997875,4013418
2017-10-24,408.69146728515625,416.3043959340956,407.7091539110996,415.27297888246613,4541742
2017-10-25,414.4871520996094,416.8938019485952,407.7582992981594,413.5539423762759,5666968
2017-10-26,411.98223876953125,414.92917900390245,409.6246925775995,414.2415776025783,6207936
2017-10-27,422.2965393066406,426.66784607933647,414.58537285370767,414.58537285370767,7414741
2017-10-30,428.82891845703125,433.1511215573135,420.67572893007764,420.67572893007764,7675104
2017-10-31,420.82305908203125,431.0882462133599,419.7425083348662,431.0882462133599,6214996
2017-11-01,430.0076904296875,432.1687918987055,420.8721878097474,423.327971307347,7310931
2017-11-02,427.2080993652344,432.6108231626232,422.2965322766991,427.99396808609595,8262211
2017-11-03,439.78173828125,441.402549458744,424.9979030493755,426.324032186535,8116263
2017-11-06,454.7128601074219,459.7226643685416,435.7050901043113,437.8661915433278,19456789
2017-11-07,443.85833740234375,457.65982935337337,442.09015520953426,450.0960337916971,13266543
2017-11-08,430.44976806640625,446.9526221228896,423.67178124315967,440.0764279363836,11193613
2017-11-09,432.365234375,442.9251033605358,418.12169016195173,434.2807574844368,40547266
2017-11-10,415.0765075683594,431.1864710152407,412.57162043541734,431.1864710152407,22534490
2017-11-13,410.70526123046875,419.939001705145,408.74063432190667,415.51859116088036,9857544
2017-11-14,406.9724426269531,414.38892702052,403.38700459800486,411.14727471029096,8987515
2017-11-15,401.4223937988281,410.16497769233655,399.80158256776764,406.9724589126185,9867270
2017-11-16,406.1374816894531,408.5441314999785,404.07461758198457,404.07461758198457,6291441
2017-11-17,414.33978271484375,415.9606238172205,409.6246903565463,412.03137019269724,6191428
2017-11-20,415.5185852050781,418.170843484752,412.6698822240603,413.5539583246759,4051153
2017-11-21,416.7464599609375,422.39476201108573,415.0274115108924,416.94293463207305,6745407
2017-11-22,421.01953125,425.34170423511495,416.99204029516466,417.9252500207601,7899417
2017-11-23,418.7110900878906,423.4261824543481,414.97831112926394,421.0195325918583,7374216
2017-11-24,417.9743347167969,422.34564116031163,416.7464430166888,419.4478047569266,5108182
2017-11-27,413.94683837890625,417.23759408651307,410.4105043345799,415.5185457294762,7946028
